Id, Country, County, Municipality, CivilParish, City, City_genitive, Street
2556, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Marijampolės savivaldybė, Liudvinavo seniūnija, Nartelis, Nartelio kaimas, Nartelio 3-oji gatvė
2557, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Marijampolės savivaldybė, Liudvinavo seniūnija, Nartelis, Nartelio kaimas, Nartelio 4-oji gatvė
2558, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Marijampolės savivaldybė, Liudvinavo seniūnija, Nartelis, Nartelio kaimas, Nartelio 5-oji gatvė
2559, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Marijampolės savivaldybė, Liudvinavo seniūnija, Nartelis, Nartelio kaimas, Nartelio 6-oji gatvė
2560, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Marijampolės savivaldybė, Liudvinavo seniūnija, Nartelis, Nartelio kaimas, Nartelio 7-oji gatvė
2561, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Marijampolės savivaldybė, Liudvinavo seniūnija, Nartelis, Nartelio kaimas, Nartelio 9-oji gatvė
2562, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Marijampolės savivaldybė, Liudvinavo seniūnija, Nartas, Narto kaimas, Fabriko gatvė
2563, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Marijampolės savivaldybė, Liudvinavo seniūnija, Nartas, Narto kaimas, Liepynų gatvė
2564, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Marijampolės savivaldybė, Liudvinavo seniūnija, Nartas, Narto kaimas, Nartelio gatvė
2565, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Marijampolės savivaldybė, Liudvinavo seniūnija, Nartas, Narto kaimas, Nartelio skersgatvis
2566, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Marijampolės savivaldybė, Liudvinavo seniūnija, Nartas, Narto kaimas, Parko gatvė
2567, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Marijampolės savivaldybė, Liudvinavo seniūnija, Nartas, Narto kaimas, Suvalkiečių gatvė
2568, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Marijampolės savivaldybė, Liudvinavo seniūnija, Naujiena, Naujienos kaimas, Beržų gatvė
2569, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Marijampolės savivaldybė, Liudvinavo seniūnija, Naujiena, Naujienos kaimas, Pušyno gatvė
2570, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Marijampolės savivaldybė, Liudvinavo seniūnija, Naujiena, Naujienos kaimas, Žaltyčio gatvė
2571, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Marijampolės savivaldybė, Liudvinavo seniūnija, Naujiena, Naujienos kaimas, Juozo Zdebskio gatvė
2572, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Marijampolės savivaldybė, Liudvinavo seniūnija, Netičkampis, Netičkampio kaimas, Dovinės gatvė
2573, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Marijampolės savivaldybė, Liudvinavo seniūnija, Netičkampis, Netičkampio kaimas, Gustaičių gatvė
2574, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Marijampolės savivaldybė, Liudvinavo seniūnija, Netičkampis, Netičkampio kaimas, Liepų gatvė
2575, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Marijampolės savivaldybė, Liudvinavo seniūnija, Netičkampis, Netičkampio kaimas, Mokyklos gatvė
2576, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Marijampolės savivaldybė, Liudvinavo seniūnija, Netičkampis, Netičkampio kaimas, Nartelio gatvė
2577, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Marijampolės savivaldybė, Liudvinavo seniūnija, Netičkampis, Netičkampio kaimas, Narto gatvė
2578, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Marijampolės savivaldybė, Liudvinavo seniūnija, Netičkampis, Netičkampio kaimas, Naujakurių gatvė
2579, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Marijampolės savivaldybė, Liudvinavo seniūnija, Netičkampis, Netičkampio kaimas, Parko gatvė
2580, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Marijampolės savivaldybė, Liudvinavo seniūnija, Netičkampis, Netičkampio kaimas, Šešupės gatvė
2581, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Marijampolės savivaldybė, Liudvinavo seniūnija, Netičkampis, Netičkampio kaimas, Sodo gatvė
2582, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Marijampolės savivaldybė, Liudvinavo seniūnija, Netičkampis, Netičkampio kaimas, Statybininkų gatvė
2583, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Marijampolės savivaldybė, Liudvinavo seniūnija, Netičkampis, Netičkampio kaimas, Statybininkų 1-oji gatvė
2584, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Marijampolės savivaldybė, Liudvinavo seniūnija, Netičkampis, Netičkampio kaimas, Statybininkų 2-oji gatvė
2585, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Marijampolės savivaldybė, Liudvinavo seniūnija, Netičkampis, Netičkampio kaimas, Statybininkų 3-oji gatvė
2586, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Marijampolės savivaldybė, Liudvinavo seniūnija, Netičkampis, Netičkampio kaimas, Statybininkų 4-oji gatvė
2587, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Marijampolės savivaldybė, Liudvinavo seniūnija, Netičkampis, Netičkampio kaimas, Statybininkų 5-oji gatvė
2588, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Marijampolės savivaldybė, Liudvinavo seniūnija, Netičkampis, Netičkampio kaimas, Statybininkų 6-oji gatvė
2589, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Marijampolės savivaldybė, Liudvinavo seniūnija, Netičkampis, Netičkampio kaimas, Statybininkų 7-oji gatvė
2590, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Marijampolės savivaldybė, Liudvinavo seniūnija, Netičkampis, Netičkampio kaimas, Statybininkų 8-oji gatvė
2591, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Marijampolės savivaldybė, Liudvinavo seniūnija, Netičkampis, Netičkampio kaimas, Statybininkų 9-oji gatvė
2592, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Marijampolės savivaldybė, Liudvinavo seniūnija, Netičkampis, Netičkampio kaimas, Trumpoji gatvė
2593, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Marijampolės savivaldybė, Liudvinavo seniūnija, Netičkampis, Netičkampio kaimas, Žiedo gatvė
2594, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Marijampolės savivaldybė, Liudvinavo seniūnija, Padovinys, Padovinio kaimas, Dovinės gatvė
2595, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Marijampolės savivaldybė, Liudvinavo seniūnija, Padovinys, Padovinio kaimas, Gluosnių gatvė
2596, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Marijampolės savivaldybė, Liudvinavo seniūnija, Padovinys, Padovinio kaimas, Lazdynų gatvė
2597, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Marijampolės savivaldybė, Liudvinavo seniūnija, Padovinys, Padovinio kaimas, Mokyklos gatvė
2598, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Marijampolės savivaldybė, Liudvinavo seniūnija, Padovinys, Padovinio kaimas, Paupio gatvė
2599, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Marijampolės savivaldybė, Liudvinavo seniūnija, Padovinys, Padovinio kaimas, Piliakalnio gatvė
2600, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Marijampolės savivaldybė, Liudvinavo seniūnija, Padovinys, Padovinio kaimas, Pušų gatvė
2601, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Marijampolės savivaldybė, Liudvinavo seniūnija, Padovinys, Padovinio kaimas, Šermukšnių gatvė
2602, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Marijampolės savivaldybė, Liudvinavo seniūnija, Pašešupiai, Pašešupių kaimas, Kaštonų gatvė
2603, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Marijampolės savivaldybė, Liudvinavo seniūnija, Prodobolė, Prodobolės kaimas, Kaštonų gatvė
2604, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Marijampolės savivaldybė, Liudvinavo seniūnija, Tarašiškiai, Tarašiškių kaimas, Baltaragio gatvė
2605, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Marijampolės savivaldybė, Liudvinavo seniūnija, Tarašiškiai, Tarašiškių kaimas, Baltaragio 10-oji gatvė
2606, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Marijampolės savivaldybė, Liudvinavo seniūnija, Tarašiškiai, Tarašiškių kaimas, Baltaragio 12-oji gatvė
2607, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Marijampolės savivaldybė, Liudvinavo seniūnija, Tarašiškiai, Tarašiškių kaimas, Baltaragio 2-oji gatvė
2608, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Marijampolės savivaldybė, Liudvinavo seniūnija, Tarašiškiai, Tarašiškių kaimas, Baltaragio 4-oji gatvė
2609, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Marijampolės savivaldybė, Liudvinavo seniūnija, Tarašiškiai, Tarašiškių kaimas, Baltaragio 6-oji gatvė
2610, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Marijampolės savivaldybė, Liudvinavo seniūnija, Tarašiškiai, Tarašiškių kaimas, Baltaragio 8-oji gatvė
2611, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Marijampolės savivaldybė, Liudvinavo seniūnija, Užgiriai, Užgirių kaimas, Kaštonų gatvė
2612, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Marijampolės savivaldybė, Liudvinavo seniūnija, Užgiriai, Užgirių kaimas, Klevinės gatvė
2613, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Marijampolės savivaldybė, Liudvinavo seniūnija, Užgiriai, Užgirių kaimas, Liepų gatvė
2614, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Marijampolės savivaldybė, Liudvinavo seniūnija, Užgiriai, Užgirių kaimas, Parko gatvė
2615, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Marijampolės savivaldybė, Liudvinavo seniūnija, Vaitiškiai, Vaitiškių kaimas, Paupio gatvė
2616, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Marijampolės savivaldybė, Liudvinavo seniūnija, Želsva, Želsvos kaimas, Juozo Andriuškevičiaus gatvė
2617, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Marijampolės savivaldybė, Liudvinavo seniūnija, Želsva, Želsvos kaimas, Andriaus Botyriaus gatvė
2618, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Marijampolės savivaldybė, Liudvinavo seniūnija, Želsva, Želsvos kaimas, Lauko gatvė
2619, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Marijampolės savivaldybė, Liudvinavo seniūnija, Želsva, Želsvos kaimas, Vinco Marazo gatvė
2620, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Marijampolės savivaldybė, Liudvinavo seniūnija, Želsva, Želsvos kaimas, Miško gatvė
2621, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Marijampolės savivaldybė, Liudvinavo seniūnija, Želsva, Želsvos kaimas, Pievų Tako gatvė
2622, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Marijampolės savivaldybė, Liudvinavo seniūnija, Želsva, Želsvos kaimas, Senosios Želsvos gatvė
2623, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Marijampolės savivaldybė, Liudvinavo seniūnija, Želsva, Želsvos kaimas, Sodų gatvė
2624, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Marijampolės savivaldybė, Liudvinavo seniūnija, Želsva, Želsvos kaimas, Žaltyčio gatvė
2625, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Marijampolės savivaldybė, Liudvinavo seniūnija, Želsva, Želsvos kaimas, Želsvelės gatvė
2626, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Marijampolės savivaldybė, Marijampolės seniūnija, Balsupiai, Balsupių kaimas, Rausvės 10-oji gatvė
2627, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Marijampolės savivaldybė, Marijampolės seniūnija, Balsupiai, Balsupių kaimas, Rausvės 11-oji gatvė
2628, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Marijampolės savivaldybė, Marijampolės seniūnija, Balsupiai, Balsupių kaimas, Rausvės 12-oji gatvė
2629, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Marijampolės savivaldybė, Marijampolės seniūnija, Balsupiai, Balsupių kaimas, Rausvės 2-oji gatvė
2630, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Marijampolės savivaldybė, Marijampolės seniūnija, Balsupiai, Balsupių kaimas, Rausvės 3-oji gatvė
2631, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Marijampolės savivaldybė, Marijampolės seniūnija, Balsupiai, Balsupių kaimas, Rausvės 4-oji gatvė
2632, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Marijampolės savivaldybė, Marijampolės seniūnija, Balsupiai, Balsupių kaimas, Rausvės 5-oji gatvė
2633, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Marijampolės savivaldybė, Marijampolės seniūnija, Balsupiai, Balsupių kaimas, Rausvės 6-oji gatvė
2634, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Marijampolės savivaldybė, Marijampolės seniūnija, Balsupiai, Balsupių kaimas, Rausvės 7-oji gatvė
2635, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Marijampolės savivaldybė, Marijampolės seniūnija, Balsupiai, Balsupių kaimas, Rausvės 8-oji gatvė
2636, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Marijampolės savivaldybė, Marijampolės seniūnija, Balsupiai, Balsupių kaimas, Rausvės 9-oji gatvė
2637, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Marijampolės savivaldybė, Marijampolės seniūnija, Balsupiai, Balsupių kaimas, Upokšnio gatvė
2638, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Marijampolės savivaldybė, Marijampolės seniūnija, Balsupiai, Balsupių kaimas, Upokšnio 1-oji gatvė
2639, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Marijampolės savivaldybė, Marijampolės seniūnija, Balsupiai, Balsupių kaimas, Upokšnio 11-oji gatvė
2640, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Marijampolės savivaldybė, Marijampolės seniūnija, Balsupiai, Balsupių kaimas, Upokšnio 3-oji gatvė
2641, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Marijampolės savivaldybė, Marijampolės seniūnija, Balsupiai, Balsupių kaimas, Upokšnio 5-oji gatvė
2642, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Marijampolės savivaldybė, Marijampolės seniūnija, Balsupiai, Balsupių kaimas, Upokšnio 7-oji gatvė
2643, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Marijampolės savivaldybė, Marijampolės seniūnija, Balsupiai, Balsupių kaimas, Upokšnio 9-oji gatvė
2644, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Marijampolės savivaldybė, Marijampolės seniūnija, Balsupiai, Balsupių kaimas, Žvejų gatvė
2645, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Marijampolės savivaldybė, Marijampolės seniūnija, Balsupiai, Balsupių kaimas, Žvejų 2-oji gatvė
2646, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Marijampolės savivaldybė, Marijampolės seniūnija, Balsupiai, Balsupių kaimas, Žvejų 4-oji gatvė
2647, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Marijampolės savivaldybė, Marijampolės seniūnija, Balsupiai, Balsupių kaimas, Žvejų 6-oji gatvė
2648, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Marijampolės savivaldybė, Marijampolės seniūnija, Balsupiai, Balsupių kaimas, Žvejų 8-oji gatvė
2649, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Marijampolės savivaldybė, Marijampolės seniūnija, Kuktai, Kuktų kaimas, Valčiuvos gatvė
2650, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Marijampolės savivaldybė, Marijampolės seniūnija, Kumelionys, Kumelionių kaimas, Dvarkelio gatvė
2651, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Marijampolės savivaldybė, Marijampolės seniūnija, Kumelionys, Kumelionių kaimas, Gando gatvė
2652, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Marijampolės savivaldybė, Marijampolės seniūnija, Kumelionys, Kumelionių kaimas, Hipodromo gatvė
2653, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Marijampolės savivaldybė, Marijampolės seniūnija, Kumelionys, Kumelionių kaimas, Kempingo gatvė
2654, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Marijampolės savivaldybė, Marijampolės seniūnija, Kumelionys, Kumelionių kaimas, Kumelionių gatvė
2655, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Marijampolės savivaldybė, Marijampolės seniūnija, Kumelionys, Kumelionių kaimas, Juozo Natkevičiaus gatvė
2656, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Marijampolės savivaldybė, Marijampolės seniūnija, Kumelionys, Kumelionių kaimas, Pilies gatvė
2657, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Marijampolės savivaldybė, Marijampolės seniūnija, Kumelionys, Kumelionių kaimas, Pilies 1-oji gatvė
2658, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Marijampolės savivaldybė, Marijampolės seniūnija, Kumelionys, Kumelionių kaimas, Pilies 10-oji gatvė
2659, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Marijampolės savivaldybė, Marijampolės seniūnija, Kumelionys, Kumelionių kaimas, Pilies 11-oji gatvė
2660, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Marijampolės savivaldybė, Marijampolės seniūnija, Kumelionys, Kumelionių kaimas, Pilies 12-oji gatvė
2661, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Marijampolės savivaldybė, Marijampolės seniūnija, Kumelionys, Kumelionių kaimas, Pilies 2-oji gatvė
2662, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Marijampolės savivaldybė, Marijampolės seniūnija, Kumelionys, Kumelionių kaimas, Pilies 3-oji gatvė
2663, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Marijampolės savivaldybė, Marijampolės seniūnija, Kumelionys, Kumelionių kaimas, Pilies 4-oji gatvė
2664, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Marijampolės savivaldybė, Marijampolės seniūnija, Kumelionys, Kumelionių kaimas, Pilies 5-oji gatvė
2665, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Marijampolės savivaldybė, Marijampolės seniūnija, Kumelionys, Kumelionių kaimas, Pilies 6-oji gatvė
2666, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Marijampolės savivaldybė, Marijampolės seniūnija, Kumelionys, Kumelionių kaimas, Pilies 7-oji gatvė
2667, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Marijampolės savivaldybė, Marijampolės seniūnija, Kumelionys, Kumelionių kaimas, Pilies 8-oji gatvė
2668, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Marijampolės savivaldybė, Marijampolės seniūnija, Kumelionys, Kumelionių kaimas, Pilies 9-oji gatvė
2669, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Marijampolės savivaldybė, Marijampolės seniūnija, Kumelionys, Kumelionių kaimas, Ulonų gatvė
2670, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Marijampolės savivaldybė, Marijampolės seniūnija, Kumelionys, Kumelionių kaimas, Ungurinės gatvė
2671, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Marijampolės savivaldybė, Marijampolės seniūnija, Kumelionys, Kumelionių kaimas, Vingio gatvė
2672, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Marijampolės savivaldybė, Marijampolės seniūnija, Kumelionys, Kumelionių kaimas, Vytauto gatvė
2673, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Marijampolės savivaldybė, Marijampolės seniūnija, Meškučiai, Meškučių kaimas, Atžalyno gatvė
2674, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Marijampolės savivaldybė, Marijampolės seniūnija, Meškučiai, Meškučių kaimas, Dzūkų gatvė
2675, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Marijampolės savivaldybė, Marijampolės seniūnija, Meškučiai, Meškučių kaimas, Lauko gatvė
2676, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Marijampolės savivaldybė, Marijampolės seniūnija, Meškučiai, Meškučių kaimas, Parko gatvė
2677, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Marijampolės savivaldybė, Marijampolės seniūnija, Meškučiai, Meškučių kaimas, Piliakalnio gatvė
2678, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Marijampolės savivaldybė, Marijampolės seniūnija, Meškučiai, Meškučių kaimas, Senoji gatvė
2679, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Marijampolės savivaldybė, Marijampolės seniūnija, Meškučiai, Meškučių kaimas, Sodų gatvė
2680, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Marijampolės savivaldybė, Marijampolės seniūnija, Meškučiai, Meškučių kaimas, Vytauto gatvė
2681, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Marijampolės savivaldybė, Marijampolės seniūnija, Meškučiai, Meškučių kaimas, Žiedo gatvė
2682, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Marijampolės savivaldybė, Marijampolės seniūnija, Nendriniškiai, Nendriniškių kaimas, Karolaukio gatvė
2683, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Marijampolės savivaldybė, Marijampolės seniūnija, Ožkasviliai, Ožkasvilių kaimas, Paikio gatvė
2684, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Marijampolės savivaldybė, Marijampolės seniūnija, Paikiškiai, Paikiškių kaimas, Paikiškių gatvė
2685, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Marijampolės savivaldybė, Marijampolės seniūnija, Patašinė, Patašinės kaimas, Baraginės gatvė
2686, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Marijampolės savivaldybė, Marijampolės seniūnija, Patašinė, Patašinės kaimas, Grabavos gatvė
2687, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Marijampolės savivaldybė, Marijampolės seniūnija, Patašinė, Patašinės kaimas, Juodupės gatvė
2688, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Marijampolės savivaldybė, Marijampolės seniūnija, Patašinė, Patašinės kaimas, Kičupelio gatvė
2689, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Marijampolės savivaldybė, Marijampolės seniūnija, Patašinė, Patašinės kaimas, Marijampolės gatvė
2690, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Marijampolės savivaldybė, Marijampolės seniūnija, Patašinė, Patašinės kaimas, Meškėnų gatvė
2691, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Marijampolės savivaldybė, Marijampolės seniūnija, Patašinė, Patašinės kaimas, Nausupės gatvė
2692, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Marijampolės savivaldybė, Marijampolės seniūnija, Patašinė, Patašinės kaimas, Nausupės skersgatvis
2693, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Marijampolės savivaldybė, Marijampolės seniūnija, Patašinė, Patašinės kaimas, Patašinės gatvė
2694, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Marijampolės savivaldybė, Marijampolės seniūnija, Patašinė, Patašinės kaimas, Putriškių gatvė
2695, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Marijampolės savivaldybė, Marijampolės seniūnija, Patašinė, Patašinės kaimas, Raišupelio gatvė
2696, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Marijampolės savivaldybė, Marijampolės seniūnija, Patašinė, Patašinės kaimas, Šlavantos gatvė
2697, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Marijampolės savivaldybė, Marijampolės seniūnija, Patašinė, Patašinės kaimas, Šlavantos skersgatvis
2698, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Marijampolės savivaldybė, Marijampolės seniūnija, Patašinė, Patašinės kaimas, Uosinės gatvė
2699, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Marijampolės savivaldybė, Marijampolės seniūnija, Patašinė, Patašinės kaimas, Valčiuvos gatvė
2700, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Marijampolės savivaldybė, Marijampolės seniūnija, Patašinė, Patašinės kaimas, Vyšnialaukio gatvė
2701, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Marijampolės savivaldybė, Marijampolės seniūnija, Pietariai, Pietarių kaimas, Beržų 1-oji gatvė
2702, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Marijampolės savivaldybė, Marijampolės seniūnija, Pietariai, Pietarių kaimas, Beržų 2-oji gatvė
2703, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Marijampolės savivaldybė, Marijampolės seniūnija, Pietariai, Pietarių kaimas, Liepų gatvė
2704, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Marijampolės savivaldybė, Marijampolės seniūnija, Pietariai, Pietarių kaimas, Uosio gatvė
2705, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Marijampolės savivaldybė, Marijampolės seniūnija, Putriškiai, Putriškių kaimas, Klevų gatvė
2706, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Marijampolės savivaldybė, Marijampolės seniūnija, Putriškiai, Putriškių kaimas, Tvenkinio gatvė
2707, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Marijampolės savivaldybė, Marijampolės seniūnija, Skaisčiūnai, Skaisčiūnų kaimas, Aušros gatvė
2708, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Marijampolės savivaldybė, Marijampolės seniūnija, Skaisčiūnai, Skaisčiūnų kaimas, Skaisčiūnų gatvė
2709, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Marijampolės savivaldybė, Marijampolės seniūnija, Skaisčiūnai, Skaisčiūnų kaimas, Tarpučių gatvė
2710, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Marijampolės savivaldybė, Marijampolės seniūnija, Skaisčiūnai, Skaisčiūnų kaimas, Uosupelio gatvė
2711, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Marijampolės savivaldybė, Marijampolės seniūnija, Skardupiai, Skardupių kaimas, Bažnyčios gatvė
2712, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Marijampolės savivaldybė, Marijampolės seniūnija, Svetlica, Svetlicos kaimas, Antano Yliaus gatvė
2713, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Marijampolės savivaldybė, Marijampolės seniūnija, Svetlica, Svetlicos kaimas, Tauro gatvė
2714, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Marijampolės savivaldybė, Marijampolės seniūnija, Širvydai, Širvydų kaimas, Dainavos gatvė
2715, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Marijampolės savivaldybė, Marijampolės seniūnija, Širvydai, Širvydų kaimas, Sūduvos gatvė
2716, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Marijampolės savivaldybė, Marijampolės seniūnija, Širvydai, Širvydų kaimas, Sūduvos skersgatvis
2717, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Marijampolės savivaldybė, Marijampolės seniūnija, Trakiškiai, Trakiškių kaimas, Dambraukos gatvė
