Id, Country, County, Municipality, CivilParish, City, City_genitive, Street
76, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Kalvarijos savivaldybė, Sangrūdos seniūnija, Rūdelė, Rūdelės kaimas
77, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Kalvarijos savivaldybė, Sangrūdos seniūnija, Rūdninkai, Rūdninkų kaimas
78, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Kalvarijos savivaldybė, Sangrūdos seniūnija, Senieji Alksnėnai, Senųjų Alksnėnų kaimas
79, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Kalvarijos savivaldybė, Sangrūdos seniūnija, Slabatka, Slabatkos kaimas
80, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Kalvarijos savivaldybė, Sangrūdos seniūnija, Svidiškiai, Svidiškių kaimas
81, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Kazlų Rūdos savivaldybė, Antanavo seniūnija, Eglupis, Eglupio kaimas
82, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Kazlų Rūdos savivaldybė, Antanavo seniūnija, Gaisriai, Gaisrių kaimas
83, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Kazlų Rūdos savivaldybė, Antanavo seniūnija, Kirsnokiškė, Kirsnokiškės kaimas
84, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Kazlų Rūdos savivaldybė, Antanavo seniūnija, Linksmakalnis, Linksmakalnio kaimas
85, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Kazlų Rūdos savivaldybė, Antanavo seniūnija, Pliopliai, Plioplių kaimas
86, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Kazlų Rūdos savivaldybė, Antanavo seniūnija, Skučiškė, Skučiškės kaimas
87, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Kazlų Rūdos savivaldybė, Antanavo seniūnija, Šiaudiniškė, Šiaudiniškės kaimas
88, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Kazlų Rūdos savivaldybė, Antanavo seniūnija, Timinciškė, Timinciškės kaimas
89, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Kazlų Rūdos savivaldybė, Antanavo seniūnija, Užpilviai, Užpilvių kaimas
90, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Kazlų Rūdos savivaldybė, Antanavo seniūnija, Užuoganai, Užuoganų kaimas
91, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Kazlų Rūdos savivaldybė, Antanavo seniūnija, Višakiškė, Višakiškės kaimas
92, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Kazlų Rūdos savivaldybė, Antanavo seniūnija, Vitkiškė, Vitkiškės kaimas
93, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Kazlų Rūdos savivaldybė, Jankų seniūnija, Beržupiai, Beržupių kaimas
94, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Kazlų Rūdos savivaldybė, Jankų seniūnija, Būdelė, Būdelės kaimas
95, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Kazlų Rūdos savivaldybė, Jankų seniūnija, Būdvietis, Būdviečio kaimas
96, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Kazlų Rūdos savivaldybė, Jankų seniūnija, Dambava, Dambavos kaimas
97, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Kazlų Rūdos savivaldybė, Jankų seniūnija, Degučiai, Degučių kaimas
98, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Kazlų Rūdos savivaldybė, Jankų seniūnija, Dovydai, Dovydų kaimas
99, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Kazlų Rūdos savivaldybė, Jankų seniūnija, Endziuliai, Endziulių kaimas
100, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Kazlų Rūdos savivaldybė, Jankų seniūnija, Giriniai Šunkariai, Girinių Šunkarių kaimas
101, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Kazlų Rūdos savivaldybė, Jankų seniūnija, Išdagai, Išdagų kaimas
102, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Kazlų Rūdos savivaldybė, Jankų seniūnija, Kampiniai, Kampinių kaimas
103, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Kazlų Rūdos savivaldybė, Jankų seniūnija, Karčrūdė, Karčrūdės kaimas
104, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Kazlų Rūdos savivaldybė, Jankų seniūnija, Katinai, Katinų kaimas
105, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Kazlų Rūdos savivaldybė, Jankų seniūnija, Kurynė, Kurynės kaimas
106, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Kazlų Rūdos savivaldybė, Jankų seniūnija, Laukiniškė, Laukiniškės kaimas
107, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Kazlų Rūdos savivaldybė, Jankų seniūnija, Laukiniai Šunkariai, Laukinių Šunkarių kaimas
108, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Kazlų Rūdos savivaldybė, Jankų seniūnija, Liaudenskai, Liaudenskų kaimas
109, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Kazlų Rūdos savivaldybė, Jankų seniūnija, Lūšna, Lūšnos kaimas
110, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Kazlų Rūdos savivaldybė, Jankų seniūnija, Maliejiškė, Maliejiškės kaimas
111, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Kazlų Rūdos savivaldybė, Jankų seniūnija, Meškučiai, Meškučių kaimas
112, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Kazlų Rūdos savivaldybė, Jankų seniūnija, Nemirai, Nemirų kaimas
113, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Kazlų Rūdos savivaldybė, Jankų seniūnija, Noreikupiai, Noreikupių kaimas
114, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Kazlų Rūdos savivaldybė, Jankų seniūnija, Pakalniškiai, Pakalniškių kaimas
115, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Kazlų Rūdos savivaldybė, Jankų seniūnija, Panoreikupiai, Panoreikupių kaimas
116, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Kazlų Rūdos savivaldybė, Kazlų Rūdos seniūnija, Agurkiškė, Agurkiškės kaimas
117, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Kazlų Rūdos savivaldybė, Kazlų Rūdos seniūnija, Alksniškės, Alksniškių kaimas
118, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Kazlų Rūdos savivaldybė, Kazlų Rūdos seniūnija, Ardzijauskai, Ardzijauskų kaimas
119, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Kazlų Rūdos savivaldybė, Kazlų Rūdos seniūnija, Armališkės, Armališkių kaimas
120, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Kazlų Rūdos savivaldybė, Kazlų Rūdos seniūnija, Audiejiškė, Audiejiškės kaimas
121, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Kazlų Rūdos savivaldybė, Kazlų Rūdos seniūnija, Aukštoji Išdaga, Aukštosios Išdagos kaimas
