id,country,county,municipality,civilparish,city,citygenitive,street
134,LIETUVOS RESPUBLIKA,Šiaulių apskritis,Šiaulių rajono savivaldybė,Kuršėnų miesto seniūnija,Kuršėnai,Kuršėnų miestas,Alėjos gatvė
135,LIETUVOS RESPUBLIKA,Šiaulių apskritis,Radviliškio rajono savivaldybė,Pakalniškių seniūnija,Amalija,Amalijos kaimas,
136,LIETUVOS RESPUBLIKA,Šiaulių apskritis,Šiaulių rajono savivaldybė,Kužių seniūnija,Amaliai,Amalių kaimas,Amalės gatvė
137,LIETUVOS RESPUBLIKA,Šiaulių apskritis,Kelmės rajono savivaldybė,Kelmės seniūnija,Kelmė,Kelmės miestas,Amatininkų gatvė
138,LIETUVOS RESPUBLIKA,Šiaulių apskritis,Kelmės rajono savivaldybė,Liolių seniūnija,Laugalis,Laugalio kaimas,Amatininkų gatvė
139,LIETUVOS RESPUBLIKA,Šiaulių apskritis,Kelmės rajono savivaldybė,Liolių seniūnija,Maneikiai,Maneikių kaimas,Amatininkų gatvė
140,LIETUVOS RESPUBLIKA,Šiaulių apskritis,Joniškio rajono savivaldybė,Kepalių seniūnija,Anapolis,Anapolio kaimas,
141,LIETUVOS RESPUBLIKA,Šiaulių apskritis,Joniškio rajono savivaldybė,Kepalių seniūnija,Andrešiūnai,Andrešiūnų kaimas,
142,LIETUVOS RESPUBLIKA,Šiaulių apskritis,Šiaulių rajono savivaldybė,Šiaulių kaimiškoji seniūnija,Andrijava,Andrijavos kaimas,Andrijavos dvaro gatvė
143,LIETUVOS RESPUBLIKA,Šiaulių apskritis,Šiaulių rajono savivaldybė,Šiaulių kaimiškoji seniūnija,Žaliūkės,Žaliūkių kaimas,Andrijavos gatvė
144,LIETUVOS RESPUBLIKA,Šiaulių apskritis,Radviliškio rajono savivaldybė,Baisogalos seniūnija,Andriūnai,Andriūnų kaimas,
145,LIETUVOS RESPUBLIKA,Šiaulių apskritis,Kelmės rajono savivaldybė,Kukečių seniūnija,Antanava,Antanavos kaimas,
146,LIETUVOS RESPUBLIKA,Šiaulių apskritis,Kelmės rajono savivaldybė,Tytuvėnų apylinkių seniūnija,Antaniškiai,Antaniškių kaimas,
147,LIETUVOS RESPUBLIKA,Šiaulių apskritis,Radviliškio rajono savivaldybė,Radviliškio miesto seniūnija,Radviliškis,Radviliškio miestas,Antaniškių gatvė
148,LIETUVOS RESPUBLIKA,Šiaulių apskritis,Radviliškio rajono savivaldybė,Sidabravo seniūnija,Vadaktai,Vadaktų miestelis,Antano Valantino gatvė
149,LIETUVOS RESPUBLIKA,Šiaulių apskritis,Pakruojo rajono savivaldybė,Guostagalio seniūnija,Antkalniai,Antkalnių kaimas,
