"seniunijos pav.","gatves pavadinimas","miestas","pastatu numeriai","komentarai"
"Antakalnio seniūnija","Pupojų Sodų 5-oji g.","Vilniaus miestas",,
"Antakalnio seniūnija","Pupojų Sodų 6-oji g.","Vilniaus miestas",,
"Antakalnio seniūnija","Pupojų Sodų 7-oji g.","Vilniaus miestas",,
"Antakalnio seniūnija","Pupojų Sodų 8-oji g.","Vilniaus miestas",,
"Antakalnio seniūnija","Pupojų Sodų 9-oji g.","Vilniaus miestas",,
"Antakalnio seniūnija","Pupojų Sodų 10-oji g.","Vilniaus miestas",,
"Antakalnio seniūnija","Pupojų Sodų 11-oji g.","Vilniaus miestas",,
"Antakalnio seniūnija","Pupojų Sodų 12-oji g.","Vilniaus miestas",,
"Antakalnio seniūnija","Pupojų Sodų 13-oji g.","Vilniaus miestas",,
"Antakalnio seniūnija","Pupojų Sodų 14-oji g.","Vilniaus miestas",,
"Antakalnio seniūnija","Pupojų Sodų 15-oji g.","Vilniaus miestas",,
"Antakalnio seniūnija","Pupojų Sodų 16-oji g.","Vilniaus miestas",,
"Antakalnio seniūnija","Rokantiškių Sodų g.","Vilniaus miestas",,
"Antakalnio seniūnija","Rokantiškių Sodų 1-oji g.","Vilniaus miestas",,
"Antakalnio seniūnija","Rokantiškių Sodų 2-oji g.","Vilniaus miestas",,
"Antakalnio seniūnija","Rokantiškių Sodų 3-oji g.","Vilniaus miestas",,
"Antakalnio seniūnija","Rokantiškių Sodų 4-oji g.","Vilniaus miestas",,
"Antakalnio seniūnija","Rokantiškių Sodų 5-oji g.","Vilniaus miestas",,
"Antakalnio seniūnija","Rokantiškių Sodų 6-oji g.","Vilniaus miestas",,
"Antakalnio seniūnija","Rokantiškių Sodų 7-oji g.","Vilniaus miestas",,
"Antakalnio seniūnija","Rokantiškių Sodų 8-oji g.","Vilniaus miestas",,
"Antakalnio seniūnija","Rokantiškių Sodų 9-oji g.","Vilniaus miestas",,
"Antakalnio seniūnija","Rokantiškių Sodų 10-oji g.","Vilniaus miestas",,
"Antakalnio seniūnija","Rokantiškių Sodų 11-oji g.","Vilniaus miestas",,
"Antakalnio seniūnija","Rokantiškių Sodų 12-oji g.","Vilniaus miestas",,
"Antakalnio seniūnija","Rokantiškių Sodų 13-oji g.","Vilniaus miestas",,
"Antakalnio seniūnija","Rokantiškių Sodų 14-oji g.","Vilniaus miestas",,
"Antakalnio seniūnija","Rokantiškių Sodų 15-oji g.","Vilniaus miestas",,
"Antakalnio seniūnija","Rokantiškių Sodų 16-oji g.","Vilniaus miestas",,
"Antakalnio seniūnija","Rokantiškių Sodų 17-oji g.","Vilniaus miestas",,
"Antakalnio seniūnija","Rudausių Sodų 1-oji g.","Vilniaus miestas",,
"Antakalnio seniūnija","Rudausių Sodų 2-oji g.","Vilniaus miestas",,
"Antakalnio seniūnija","Rudausių Sodų 3-oji g.","Vilniaus miestas",,
"Antakalnio seniūnija","Rudausių Sodų 4-oji g.","Vilniaus miestas",,
"Antakalnio seniūnija","Rudausių Sodų 5-oji g.","Vilniaus miestas",,
"Antakalnio seniūnija","Rudausių Sodų 6-oji g.","Vilniaus miestas",,
"Antakalnio seniūnija","Rudausių Sodų 7-oji g.","Vilniaus miestas",,
"Antakalnio seniūnija","Rudausių Sodų 8-oji g.","Vilniaus miestas",,
"Antakalnio seniūnija","Rudausių Sodų 9-oji g.","Vilniaus miestas",,
"Antakalnio seniūnija","Rudausių Sodų 10-oji g.","Vilniaus miestas",,
"Antakalnio seniūnija","Rudausių Sodų 11-oji g.","Vilniaus miestas",,
"Antakalnio seniūnija","Rudausių Sodų 12-oji g.","Vilniaus miestas",,
"Antakalnio seniūnija","Rudausių Sodų 13-oji g.","Vilniaus miestas",,
"Antakalnio seniūnija","Skarbelio Sodų 1-oji g.","Vilniaus miestas",,
"Antakalnio seniūnija","Skarbelio Sodų 2-oji g.","Vilniaus miestas",,
"Antakalnio seniūnija","Skarbelio Sodų 3-oji g.","Vilniaus miestas",,
"Antakalnio seniūnija","Smėlynės Sodų g.","Vilniaus miestas",,
"Antakalnio seniūnija","Smėlynės Sodų 1-oji g.","Vilniaus miestas",,
"Antakalnio seniūnija","Smėlynės Sodų 2-oji g.","Vilniaus miestas",,
"Antakalnio seniūnija","Smėlynės Sodų 3-oji g.","Vilniaus miestas",,
"Antakalnio seniūnija","Smėlynės Sodų 4-oji g.","Vilniaus miestas",,
"Antakalnio seniūnija","Smėlynės Sodų 5-oji g.","Vilniaus miestas",,
"Antakalnio seniūnija","Šilėnų Sodų 1-oji g.","Vilniaus miestas",,
"Antakalnio seniūnija","Šilėnų Sodų 2-oji g.","Vilniaus miestas",,
"Antakalnio seniūnija","Šilėnų Sodų 3-oji g.","Vilniaus miestas",,
"Antakalnio seniūnija","Šilėnų Sodų 4-oji g.","Vilniaus miestas",,
